,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Average HR (bpm),Respiratory rate (rpm),Asleep duration (min),Deep (SWS) duration (min),REM duration (min),Recovery score %
0,0.5,0.2592592592592592,0.13013698630136988,0.52,0.15000000000000036,0.1557093425605537,0.4311926605504587,0.3188405797101449,34.0
1,0.2857142857142856,0.41975308641975306,0.5205479452054794,0.040000000000000036,0.25,0.26297577854671295,0.5596330275229359,0.3381642512077294,57.0
2,0.7857142857142856,0.7654320987654321,0.0136986301369863,0.2799999999999998,0.5500000000000007,0.6747404844290658,0.37614678899082576,0.3719806763285024,84.0
3,0.5714285714285712,0.3950617283950617,0.136986301369863,0.56,0.3500000000000014,0.7024221453287197,0.45871559633027525,0.4879227053140096,59.0
4,0.5714285714285712,0.2222222222222222,0.4178082191780822,0.3599999999999999,0.10000000000000142,0.8477508650519031,0.4311926605504587,0.748792270531401,35.0
5,0.5,0.3827160493827161,0.410958904109589,0.2400000000000002,0.20000000000000107,0.7162629757785467,0.4678899082568807,0.642512077294686,53.0
6,0.6428571428571432,0.2222222222222222,0.5,0.31999999999999984,0.25,1.0,0.5963302752293579,0.6763285024154588,31.0
7,0.5714285714285712,0.2962962962962963,0.18493150684931509,0.43999999999999995,0.5500000000000007,0.5813148788927337,0.7339449541284403,0.2318840579710145,36.0
8,0.5714285714285712,0.6419753086419754,0.595890410958904,0.31999999999999984,0.6500000000000004,0.8027681660899654,0.853211009174312,0.7826086956521738,69.0
9,0.7857142857142856,0.9012345679012345,0.5068493150684932,0.3999999999999999,0.45000000000000107,0.4394463667820069,0.5504587155963304,0.5024154589371981,89.0
10,1.0,0.7654320987654321,0.2534246575342466,1.0,0.25,0.6089965397923877,0.15596330275229364,0.38164251207729466,83.0
11,0.7142857142857144,0.4444444444444444,0.8767123287671232,0.8799999999999999,0.5,0.4117647058823529,0.7522935779816514,0.47342995169082125,60.0
12,0.4285714285714288,0.2716049382716049,0.6438356164383562,0.31999999999999984,0.40000000000000036,0.39446366782006936,0.5688073394495413,0.32850241545893716,38.0
13,0.4285714285714288,0.7654320987654321,0.11643835616438358,0.3599999999999999,0.6000000000000014,0.12110726643598613,0.779816513761468,0.29951690821256033,88.0
14,0.0,0.4691358024691358,0.1506849315068493,0.3599999999999999,0.10000000000000142,0.8304498269896196,0.7706422018348625,0.8115942028985507,73.0
