,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Average HR (bpm),Respiratory rate (rpm),Asleep duration (min),Deep (SWS) duration (min),REM duration (min),Date
120,55.0,59.0,53.0,4.3,71.0,18.5,484.0,144.0,153.0,2025-03-20
121,29.0,61.0,38.0,9.3,75.0,19.2,429.0,145.0,156.0,2025-03-18
122,2.0,63.0,34.0,10.1,89.0,19.4,85.0,54.0,4.0,2025-03-17
127,30.0,61.0,48.0,9.9,77.0,19.3,348.0,103.0,79.0,2025-03-11
128,44.0,60.0,56.0,10.4,73.0,18.4,454.0,120.0,104.0,2025-03-11
129,46.0,56.0,59.0,8.9,73.0,18.9,405.0,128.0,80.0,2025-03-10
130,34.0,61.0,50.0,9.5,70.0,18.9,461.0,159.0,132.0,2025-03-09
132,32.0,59.0,51.0,6.6,72.0,18.3,356.0,91.0,76.0,2025-03-06
133,50.0,58.0,61.0,9.6,74.0,18.6,445.0,115.0,138.0,2025-03-05
134,84.0,58.0,86.0,10.4,73.0,19.1,393.0,83.0,70.0,2025-03-04
135,30.0,65.0,52.0,9.3,69.0,19.7,398.0,80.0,82.0,2025-03-03
136,67.0,58.0,68.0,10.8,73.0,18.4,502.0,99.0,97.0,2025-03-02
137,54.0,56.0,60.0,11.3,69.0,18.5,442.0,137.0,93.0,2025-03-02
138,71.0,58.0,72.0,9.5,72.0,19.3,373.0,126.0,96.0,2025-03-01
139,43.0,62.0,55.0,8.7,73.0,19.6,467.0,86.0,37.0,2025-02-27
140,41.0,61.0,53.0,8.3,71.0,18.8,426.0,94.0,36.0,2025-02-26
141,41.0,59.0,56.0,5.5,75.0,18.9,368.0,56.0,105.0,2025-02-25
142,61.0,57.0,66.0,11.3,73.0,18.7,370.0,74.0,9.0,2025-02-24
143,47.0,58.0,59.0,13.5,66.0,18.9,464.0,102.0,89.0,2025-02-24
144,33.0,61.0,54.0,5.0,68.0,18.6,360.0,73.0,9.0,2025-02-23
