,Unnamed: 0,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Day Strain,Average HR (bpm),Respiratory rate (rpm),Asleep duration (min),Deep (SWS) duration (min),REM duration (min),Date
103,104,62.0,58.0,52.0,4.4,77.0,18.6,417.0,123.0,127.0,2025-04-05
104,105,46.0,59.0,48.0,16.4,71.0,18.9,402.0,111.0,119.0,2025-04-03
105,106,41.0,62.0,47.0,8.0,72.0,18.6,446.0,119.0,87.0,2025-04-02
106,107,52.0,55.0,52.0,8.3,80.0,19.0,426.0,128.0,113.0,2025-04-01
107,108,79.0,56.0,62.0,16.3,66.0,18.7,443.0,112.0,155.0,2025-03-31
108,109,82.0,59.0,66.0,6.6,68.0,19.0,431.0,95.0,150.0,2025-03-30
109,110,55.0,62.0,55.0,5.1,72.0,19.1,376.0,121.0,90.0,2025-03-30
110,111,72.0,56.0,57.0,6.4,79.0,18.4,442.0,117.0,109.0,2025-03-28
111,112,68.0,57.0,54.0,17.0,70.0,18.2,485.0,138.0,121.0,2025-03-27
112,113,65.0,57.0,54.0,7.5,70.0,18.2,467.0,128.0,94.0,2025-03-27
113,114,70.0,54.0,57.0,8.7,72.0,18.2,419.0,121.0,117.0,2025-03-25
114,115,33.0,62.0,40.0,9.8,65.0,18.8,385.0,136.0,136.0,2025-03-24
115,116,40.0,62.0,44.0,4.3,69.0,18.8,426.0,122.0,103.0,2025-03-24
116,117,53.0,60.0,50.0,7.2,73.0,18.7,445.0,111.0,126.0,2025-03-23
117,118,59.0,56.0,54.0,10.6,71.0,18.5,389.0,125.0,110.0,2025-03-22
118,119,88.0,59.0,71.0,8.4,65.0,18.6,452.0,113.0,135.0,2025-03-21
119,120,55.0,59.0,53.0,4.3,71.0,18.5,484.0,144.0,153.0,2025-03-20
120,121,29.0,61.0,38.0,9.3,75.0,19.2,429.0,145.0,156.0,2025-03-18
122,127,30.0,61.0,48.0,9.9,77.0,19.3,348.0,103.0,79.0,2025-03-11
123,128,44.0,60.0,56.0,10.4,73.0,18.4,454.0,120.0,104.0,2025-03-11
124,129,46.0,56.0,59.0,8.9,73.0,18.9,405.0,128.0,80.0,2025-03-10
125,130,34.0,61.0,50.0,9.5,70.0,18.9,461.0,159.0,132.0,2025-03-09
126,132,32.0,59.0,51.0,6.6,72.0,18.3,356.0,91.0,76.0,2025-03-06
127,133,50.0,58.0,61.0,9.6,74.0,18.6,445.0,115.0,138.0,2025-03-05
128,134,84.0,58.0,86.0,10.4,73.0,19.1,393.0,83.0,70.0,2025-03-04
129,135,30.0,65.0,52.0,9.3,69.0,19.7,398.0,80.0,82.0,2025-03-03
130,136,67.0,58.0,68.0,10.8,73.0,18.4,502.0,99.0,97.0,2025-03-02
131,137,54.0,56.0,60.0,11.3,69.0,18.5,442.0,137.0,93.0,2025-03-02
132,138,71.0,58.0,72.0,9.5,72.0,19.3,373.0,126.0,96.0,2025-03-01
133,139,43.0,62.0,55.0,8.7,73.0,19.6,467.0,86.0,37.0,2025-02-27
134,140,41.0,61.0,53.0,8.3,71.0,18.8,426.0,94.0,36.0,2025-02-26
135,141,41.0,59.0,56.0,5.5,75.0,18.9,368.0,56.0,105.0,2025-02-25
136,142,61.0,57.0,66.0,11.3,73.0,18.7,370.0,74.0,9.0,2025-02-24
137,143,47.0,58.0,59.0,13.5,66.0,18.9,464.0,102.0,89.0,2025-02-24
138,144,33.0,61.0,54.0,5.0,68.0,18.6,360.0,73.0,9.0,2025-02-23
139,145,29.0,61.0,52.0,5.1,71.0,19.2,414.0,79.0,6.0,2025-02-21
140,146,58.0,62.0,77.0,6.5,73.0,19.0,405.0,76.0,34.0,2025-02-21
141,147,30.0,55.0,56.0,12.8,75.0,18.2,298.0,62.0,83.0,2025-02-19
142,148,46.0,55.0,69.0,9.7,72.0,18.5,420.0,84.0,81.0,2025-02-18
143,149,67.0,55.0,84.0,13.6,65.0,18.3,373.0,76.0,48.0,2025-02-18
144,150,92.0,59.0,103.0,6.6,64.0,18.5,487.0,98.0,91.0,2025-02-17
145,151,52.0,62.0,75.0,4.1,73.0,18.7,392.0,86.0,14.0,2025-02-16
146,152,74.0,60.0,85.0,9.2,76.0,19.5,425.0,70.0,51.0,2025-02-15
147,153,96.0,60.0,100.0,14.0,69.0,19.0,494.0,103.0,46.0,2025-02-14
148,154,75.0,61.0,77.0,6.2,71.0,19.0,517.0,71.0,30.0,2025-02-12
149,155,97.0,57.0,100.0,8.0,75.0,18.5,480.0,95.0,64.0,2025-02-11
150,156,59.0,61.0,67.0,15.4,67.0,19.1,444.0,81.0,33.0,2025-02-10
151,157,34.0,60.0,50.0,4.2,77.0,18.6,449.0,92.0,50.0,2025-02-09
152,158,96.0,61.0,87.0,15.7,75.0,18.9,490.0,103.0,77.0,2025-02-09
153,159,47.0,61.0,57.0,12.6,76.0,18.6,453.0,85.0,16.0,2025-02-08
154,160,74.0,61.0,70.0,11.8,73.0,18.7,477.0,90.0,30.0,2025-02-06
155,161,63.0,63.0,67.0,12.5,75.0,19.2,460.0,53.0,33.0,2025-02-05
156,162,74.0,60.0,70.0,9.5,77.0,19.5,455.0,86.0,17.0,2025-02-04
157,163,74.0,63.0,75.0,14.7,68.0,18.8,373.0,81.0,37.0,2025-02-03
158,164,62.0,57.0,62.0,5.4,74.0,19.1,502.0,88.0,56.0,2025-02-02
159,165,44.0,59.0,55.0,12.4,67.0,17.9,389.0,100.0,21.0,2025-02-02
160,166,97.0,58.0,93.0,7.0,73.0,19.0,501.0,113.0,73.0,2025-01-31
161,167,76.0,60.0,66.0,12.8,71.0,18.8,444.0,74.0,58.0,2025-01-30
162,168,59.0,61.0,57.0,9.3,73.0,18.8,460.0,93.0,128.0,2025-01-29
163,169,55.0,62.0,55.0,11.6,78.0,18.6,445.0,103.0,34.0,2025-01-28
164,170,89.0,60.0,78.0,13.9,76.0,18.5,453.0,87.0,64.0,2025-01-27
165,171,65.0,62.0,61.0,10.7,79.0,18.2,460.0,108.0,52.0,2025-01-26
